time,S,E,R,I,H
1944,87531.466,560.6357,1546060.346,402.3514,265004.7898
1944.03832991102,89244.64468186027,532.4925590761572,1547023.2963746802,321.71100550822933,265967.7448162728
1944.07665982204,90690.15186868975,630.6383320527715,1547989.0359211117,372.40821624201084,965.7441908202153
1944.11498973306,91918.74105737939,750.4118720705515,1549124.5217624444,441.39355877194754,1135.490488863109
1944.15331964408,92874.42102189802,900.4580281261984,1550477.5081216833,528.259187151337,1352.9910104903363
1944.1916495551,93495.55996073973,1085.3053455444845,1552102.189601919,635.9137544910848,1624.6861359413863
1944.22997946612,93715.76641696601,1307.6696420819205,1554060.087662174,766.5114409719391,1957.9027213210966
1944.26830937714,93470.79559352218,1566.396109964539,1556416.3763474599,920.2778064338557,2356.2933528089097
1944.30663928816,94047.13481715228,1110.9834394400532,1558939.844767087,792.4377245955659,2523.4730946887157
1944.34496919918,94367.38851210837,1282.8026757009475,1560992.657850762,756.8507963280189,2052.8177655094237
1944.3832991102,94165.80606608743,1529.1779739884887,1563306.3985812427,900.3604959580965,2313.7454187523763
1944.42162902122,93479.97641187973,1799.7335570720672,1566052.8493626465,1063.9712638286883,2746.4554772563943
1944.45995893224,92289.17110281393,2081.7158858565886,1569274.8329832258,1238.3422974771854,3221.98832537985
1944.49828884326,90615.78852007548,2351.89274714255,1572985.8887915593,1410.7680803599526,3711.060523538873
1944.53661875428,88535.07483152921,2580.850774644911,1577157.347814535,1564.0847840296117,4171.463750024034
1944.5749486653,87966.8995690999,1730.1447819489208,1581333.2887392603,1272.7893758924113,4175.945664635213
1944.61327857632,88618.42316649543,1102.5648991590695,1584221.1041961478,819.5386617448444,2887.8202074862093
1944.65160848734,89902.30883539944,710.0956333387395,1586074.1284703142,526.3506377446392,1853.029031766906
1944.68993839836,91592.02345898926,454.8247948757989,1587268.9036938648,341.1284782431061,1194.779985649647
1944.72826830938,93025.70231881805,554.5823388210437,1588179.2702996305,334.06651382654275,910.3713708931623
1944.7665982204,94351.95552104156,626.3943957416583,1589169.6648252655,375.0919701413562,990.3992935863951
1944.80492813142,95515.81224024747,714.2087608735732,1590289.0774172372,426.23773091663884,1119.4173630824018
1944.84325804244,96891.81092229727,555.6553414732745,1591510.7745831301,402.06893547266355,1221.7019405651904
1944.88158795346,98032.44792563263,701.4215066023053,1592617.8296688325,416.3285104387609,1107.0598638394215
1944.91991786448,98980.456455741,823.0910890501204,1593878.3130600436,486.62903186212117,1260.4881728685375
1944.9582477755,99662.2459911417,969.6233851943343,1595357.3344132788,572.492068350837,1479.0261389931713
1944.99657768652,100588.19394502084,784.3741080857371,1597021.1497371523,553.9284850753464,1663.8201144159232
1945.03490759754,101792.24107669915,735.8253842787473,1598355.3284204453,442.946007401273,1334.1834784141488
1945.07323750856,102583.7331075477,892.0557654725216,1599698.6248081822,523.3660172559873,1343.301186730803
1945.11156741958,103051.30864365086,1073.521900862772,1601307.7130004654,629.4191592792039,1609.092995690353
1945.1498973306,103130.19027214682,1289.100401577589,1603243.0591819703,756.5400505504947,1935.3509902169192
1945.18822724162,102762.78374891955,1537.2947060741722,1605563.9257926375,904.5570568113942,2320.871425750628
1945.22655715264,101904.58939033732,1810.8682710992193,1608325.2354106894,1070.2838267448421,2761.3144407491814
1945.26488706366,100537.76191527591,2095.0127973863255,1611567.1694887641,1246.1924881258078,3241.9389097727394
1945.30321697468,100262.67342715769,1472.2297757293966,1614975.8259079065,1063.3115657137687,3408.661261091992
1945.34154688569,100043.41798133413,1528.4047256567853,1617601.6707000704,921.1954521174928,2625.849643115773
1945.37987679671,99319.74107075659,1720.358758672299,1620334.4178580535,1033.5635512666229,2732.7520168033725
1945.41820670773,98272.30596729745,1902.1593671885562,1623390.8935151193,1148.8589650549118,3056.4805245714388
1945.45653661875,96933.77192493435,2064.54710363933,1626759.6294875066,1255.1500708526967,3368.7408495412233
1945.49486652977,95364.94151558423,2193.228816099162,1630403.0071701424,1343.546053763769,3643.3825703240313
1945.53319644079,93648.79531822084,2275.665593646183,1634258.9215935515,1405.7102152323746,3855.9193223694265
1945.57152635181,93156.6846804761,1543.9406425280877,1638017.067992136,1148.5127669978779,3758.1513092025853
1945.60985626283,93892.72768329964,945.6370685828888,1640583.4396898302,714.2591983611806,2566.3766179200334
1945.64818617385,95199.89237584842,586.407900724153,1642170.6043759342,441.7607419754143,1587.169612446812
1945.68651608487,96855.03205025793,367.5199494753028,1643155.8434267943,275.6159188543223,985.2439809902068
1945.72484599589,98384.09225553914,407.59588039266873,1643860.2795308891,250.1338259744014,704.4410366568072
1945.76317590691,99856.00186375076,437.69628669390295,1644582.5170879746,266.7205983264098,722.2424917632353
1945.80150581793,101254.38821658114,475.2309798204654,1645358.5027718754,288.39240897578935,775.9906208239112
1945.83983572895,102767.00579696399,382.39849812750055,1646180.1721930774,273.26062616983506,821.6743605436176
1945.87816563997,104211.17201295972,439.9338606507237,1646905.5420335815,265.25614083417236,725.3747821622148
1945.91649555099,105550.36243678037,495.4841323436299,1647690.8586872986,297.0099219151368,785.3215976185774
1945.95482546201,106762.90908481422,563.1118142872887,1648575.8158631288,336.43374306408134,884.9621222326333
1945.99315537303,108078.59995718859,470.16401847583865,1649555.0800378881,331.7260153647555,979.2691239837949
1946.03148528405,109630.64613234134,404.09056439552,1650341.51996804,249.35708445005173,786.4448820942725
1946.06981519507,110958.75643377069,482.2086736500122,1651082.4824820089,284.9540768172441,740.9674681129248
1946.10814510609,112125.27366501394,571.7606953011084,1651950.149138816,336.7502808674042,867.6716133546806
1946.14647501711,113088.08043981009,682.8196549485426,1652980.0836302012,401.22636554388714,1029.9394507719887
