R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0,LogLik
25.472858370951503,0.28873599611509054,73.05,0.02554358913624291,45.66,0.5917665399586243,0.8204145989874265,0.0821533203125,0.0000315,0.5293212890625,0.0000222,-4279.205621
31.36352601467787,0.3256676261740892,73.05,0.10763946211306141,45.66,0.5811017391349262,0.9056359075655963,0.0796142578125,0.0000133,0.1900634765625,0.0000361,-4233.342978
49.468725329536575,0.4980330844047716,73.05,0.3492776103588479,45.66,0.9745399939679092,0.9303992656983079,0.0177978515625,0.0000923,0.7007080078125,0.0000264,-4239.827777
52.11656748964672,0.5188409955712604,73.05,0.38433889174764235,45.66,0.9419298515562676,1.0411731071477819,0.0608642578125,0.0000196,0.8088134765625,0.0000674,-4251.89099
43.54348697587458,0.4448686412180467,73.05,0.27132663917874655,45.66,0.8001543139834397,0.9588517840479017,0.0835205078125,0.0000531,0.6049072265625,0.00000564,-4237.113748
25.47281773651664,0.28873142727011736,73.05,0.02554277947422738,45.66,0.5917665399586243,0.8203807293218464,0.0821533203125,0.0000315,0.5293212890625,0.0000222,-4279.205622
31.36333037176077,0.32567063265271784,73.05,0.10762796605029387,45.66,0.5811017391349262,0.9056181297343442,0.0796142578125,0.0000133,0.1900634765625,0.0000361,-4233.34298
49.4724836264722,0.4980968390971305,73.05,0.3493201525638736,45.66,0.9745399939679092,0.9305654244809433,0.0177978515625,0.0000923,0.7007080078125,0.0000264,-4239.82783
52.11702359414931,0.5188442421807969,73.05,0.3843477932021987,45.66,0.9419298515562676,1.04115841467104,0.0608642578125,0.0000196,0.8088134765625,0.0000674,-4251.890991
43.54351895210638,0.44486960710360074,73.05,0.2713265205952573,45.66,0.8001543139834397,0.9588776620370364,0.0835205078125,0.0000531,0.6049072265625,0.00000564,-4237.113748
25.472938462697094,0.28873982260900016,73.05,0.0255464236114606,45.66,0.5917665399586243,0.8203923080281905,0.0821533203125,0.0000315,0.5293212890625,0.0000222,-4279.205622
31.3636648996762,0.3256891673716532,73.05,0.10763515208581458,45.66,0.5811017391349262,0.9056650236704135,0.0796142578125,0.0000133,0.1900634765625,0.0000361,-4233.342992
49.468665054705646,0.4980305266488678,73.05,0.3492804023142295,45.66,0.9745399939679092,0.9303960218178683,0.0177978515625,0.0000923,0.7007080078125,0.0000264,-4239.827775
52.11677498240744,0.5188438502547356,73.05,0.3843403487093069,45.66,0.9419298515562676,1.0411710113569388,0.0608642578125,0.0000196,0.8088134765625,0.0000674,-4251.890991
43.54345822798017,0.44486724940387073,73.05,0.27132817843567186,45.66,0.8001543139834397,0.9588778807306588,0.0835205078125,0.0000531,0.6049072265625,0.00000564,-4237.113749
25.472949597358404,0.288736081714104,73.05,0.025547797356994743,45.66,0.5917665399586243,0.8204160146955776,0.0821533203125,0.0000315,0.5293212890625,0.0000222,-4279.205622
31.363445099709203,0.32566542547014204,73.05,0.1076360574239203,45.66,0.5811017391349262,0.9055923223019677,0.0796142578125,0.0000133,0.1900634765625,0.0000361,-4233.342978
49.46504953183435,0.4979686274761025,73.05,0.349242545550274,45.66,0.9745399939679092,0.9302454355585698,0.0177978515625,0.0000923,0.7007080078125,0.0000264,-4239.827826
52.11710909523451,0.5188478163215376,73.05,0.38434910571064024,45.66,0.9419298515562676,1.0412067788606079,0.0608642578125,0.0000196,0.8088134765625,0.0000674,-4251.89099
43.543446481147775,0.44486705324562237,73.05,0.2713285551962119,45.66,0.8001543139834397,0.9588179509039427,0.0835205078125,0.0000531,0.6049072265625,0.00000564,-4237.113749
25.472804463843968,0.28873481602838363,73.05,0.02554125014380084,45.66,0.5917665399586243,0.8204124900390614,0.0821533203125,0.0000315,0.5293212890625,0.0000222,-4279.205621
31.363471832889537,0.32567304575116046,73.05,0.10763367488743118,45.66,0.5811017391349262,0.9056129067763455,0.0796142578125,0.0000133,0.1900634765625,0.0000361,-4233.34298
