R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0
20.99609375,0.19873046875,73.05,0.46142578125,45.66,0.44677734375,0.87158203125,0.016748046875,2.5146484375E-05,2.2802734375E-05,0.644677734375
120.99609375,0.69873046875,73.05,0.96142578125,45.66,0.94677734375,0.37158203125,0.066748046875,7.5146484375E-05,7.2802734375E-05,0.194677734375
170.99609375,0.44873046875,73.05,0.21142578125,45.66,0.19677734375,0.12158203125,0.041748046875,1.46E-07,9.7802734375E-05,0.869677734375
70.99609375,0.94873046875,73.05,0.71142578125,45.66,0.69677734375,0.62158203125,0.091748046875,5.0146484375E-05,4.7802734375E-05,0.419677734375
95.99609375,0.32373046875,73.05,0.33642578125,45.66,0.57177734375,0.99658203125,0.054248046875,3.7646484375E-05,8.5302734375E-05,0.757177734375
195.99609375,0.82373046875,73.05,0.83642578125,45.66,0.07177734375,0.49658203125,0.004248046875,8.7646484375E-05,3.5302734375E-05,0.307177734375
145.99609375,0.07373046875,73.05,0.08642578125,45.66,0.82177734375,0.24658203125,0.079248046875,1.2646484375E-05,1.0302734375E-05,0.532177734375
45.99609375,0.57373046875,73.05,0.58642578125,45.66,0.32177734375,0.74658203125,0.029248046875,6.2646484375E-05,6.0302734375E-05,0.082177734375
33.49609375,0.38623046875,73.05,0.77392578125,45.66,0.25927734375,0.80908203125,0.085498046875,4.3896484375E-05,1.6552734375E-05,0.025927734375
133.49609375,0.88623046875,73.05,0.27392578125,45.66,0.75927734375,0.30908203125,0.035498046875,9.3896484375E-05,6.6552734375E-05,0.475927734375
183.49609375,0.13623046875,73.05,0.52392578125,45.66,0.00927734375,0.05908203125,0.060498046875,1.8896484375E-05,9.1552734375E-05,0.250927734375
83.49609375,0.63623046875,73.05,0.02392578125,45.66,0.50927734375,0.55908203125,0.010498046875,6.8896484375E-05,4.1552734375E-05,0.700927734375
58.49609375,0.01123046875,73.05,0.89892578125,45.66,0.63427734375,0.93408203125,0.047998046875,3.1396484375E-05,7.9052734375E-05,0.363427734375
158.49609375,0.51123046875,73.05,0.39892578125,45.66,0.13427734375,0.43408203125,0.097998046875,8.1396484375E-05,2.9052734375E-05,0.813427734375
108.49609375,0.26123046875,73.05,0.64892578125,45.66,0.88427734375,0.18408203125,0.022998046875,6.396484375E-06,4.052734375E-06,0.138427734375
8.49609375,0.76123046875,73.05,0.14892578125,45.66,0.38427734375,0.68408203125,0.072998046875,5.6396484375E-05,5.4052734375E-05,0.588427734375
11.62109375,0.05810546875,73.05,0.53955078125,45.66,0.55615234375,0.07470703125,0.037060546875,1.1083984375E-05,3.6865234375E-05,0.827490234375
111.62109375,0.55810546875,73.05,0.03955078125,45.66,0.05615234375,0.57470703125,0.087060546875,6.1083984375E-05,8.6865234375E-05,0.377490234375
161.62109375,0.30810546875,73.05,0.78955078125,45.66,0.80615234375,0.82470703125,0.012060546875,3.6083984375E-05,6.1865234375E-05,0.602490234375
61.62109375,0.80810546875,73.05,0.28955078125,45.66,0.30615234375,0.32470703125,0.062060546875,8.6083984375E-05,1.1865234375E-05,0.152490234375
86.62109375,0.43310546875,73.05,0.66455078125,45.66,0.43115234375,0.19970703125,0.099560546875,2.3583984375E-05,7.4365234375E-05,0.489990234375
186.62109375,0.93310546875,73.05,0.16455078125,45.66,0.93115234375,0.69970703125,0.049560546875,7.3583984375E-05,2.4365234375E-05,0.039990234375
136.62109375,0.18310546875,73.05,0.91455078125,45.66,0.18115234375,0.94970703125,0.074560546875,4.8583984375E-05,4.9365234375E-05,0.714990234375
36.62109375,0.68310546875,73.05,0.41455078125,45.66,0.68115234375,0.44970703125,0.024560546875,9.8583984375E-05,9.9365234375E-05,0.264990234375
49.12109375,0.37060546875,73.05,0.22705078125,45.66,0.74365234375,0.01220703125,0.068310546875,1.7333984375E-05,3.0615234375E-05,0.321240234375
149.12109375,0.87060546875,73.05,0.72705078125,45.66,0.24365234375,0.51220703125,0.018310546875,6.7333984375E-05,8.0615234375E-05,0.771240234375
199.12109375,0.12060546875,73.05,0.47705078125,45.66,0.99365234375,0.76220703125,0.093310546875,4.2333984375E-05,5.5615234375E-05,0.096240234375
99.12109375,0.62060546875,73.05,0.97705078125,45.66,0.49365234375,0.26220703125,0.043310546875,9.2333984375E-05,5.615234375E-06,0.546240234375
74.12109375,0.24560546875,73.05,0.10205078125,45.66,0.36865234375,0.13720703125,0.005810546875,4.833984375E-06,6.8115234375E-05,0.208740234375
174.12109375,0.74560546875,73.05,0.60205078125,45.66,0.86865234375,0.63720703125,0.055810546875,5.4833984375E-05,1.8115234375E-05,0.658740234375
124.12109375,0.49560546875,73.05,0.35205078125,45.66,0.11865234375,0.88720703125,0.030810546875,2.9833984375E-05,4.3115234375E-05,0.433740234375
24.12109375,0.99560546875,73.05,0.85205078125,45.66,0.61865234375,0.38720703125,0.080810546875,7.9833984375E-05,9.3115234375E-05,0.883740234375
17.87109375,0.46435546875,73.05,0.88330078125,45.66,0.83740234375,0.60595703125,0.052685546875,8.2958984375E-05,2.1240234375E-05,0.461865234375
117.87109375,0.96435546875,73.05,0.38330078125,45.66,0.33740234375,0.10595703125,0.002685546875,3.2958984375E-05,7.1240234375E-05,0.011865234375
167.87109375,0.21435546875,73.05,0.63330078125,45.66,0.58740234375,0.35595703125,0.077685546875,5.7958984375E-05,9.6240234375E-05,0.686865234375
67.87109375,0.71435546875,73.05,0.13330078125,45.66,0.08740234375,0.85595703125,0.027685546875,7.958984375E-06,4.6240234375E-05,0.236865234375
92.87109375,0.08935546875,73.05,0.75830078125,45.66,0.21240234375,0.73095703125,0.015185546875,9.5458984375E-05,8.3740234375E-05,0.799365234375
192.87109375,0.58935546875,73.05,0.25830078125,45.66,0.71240234375,0.23095703125,0.065185546875,4.5458984375E-05,3.3740234375E-05,0.349365234375
142.87109375,0.33935546875,73.05,0.50830078125,45.66,0.46240234375,0.48095703125,0.040185546875,7.0458984375E-05,8.740234375E-06,0.574365234375
42.87109375,0.83935546875,73.05,0.00830078125,45.66,0.96240234375,0.98095703125,0.090185546875,2.0458984375E-05,5.8740234375E-05,0.124365234375
30.37109375,0.15185546875,73.05,0.32080078125,45.66,0.89990234375,0.54345703125,0.046435546875,8.9208984375E-05,1.4990234375E-05,0.180615234375
130.37109375,0.65185546875,73.05,0.82080078125,45.66,0.39990234375,0.04345703125,0.096435546875,3.9208984375E-05,6.4990234375E-05,0.630615234375
180.37109375,0.40185546875,73.05,0.07080078125,45.66,0.64990234375,0.29345703125,0.021435546875,6.4208984375E-05,8.9990234375E-05,0.405615234375
80.37109375,0.90185546875,73.05,0.57080078125,45.66,0.14990234375,0.79345703125,0.071435546875,1.4208984375E-05,3.9990234375E-05,0.855615234375
55.37109375,0.27685546875,73.05,0.44580078125,45.66,0.02490234375,0.66845703125,0.083935546875,7.6708984375E-05,7.7490234375E-05,0.293115234375
155.37109375,0.77685546875,73.05,0.94580078125,45.66,0.52490234375,0.16845703125,0.033935546875,2.6708984375E-05,2.7490234375E-05,0.743115234375
105.37109375,0.02685546875,73.05,0.19580078125,45.66,0.27490234375,0.41845703125,0.058935546875,5.1708984375E-05,2.490234375E-06,0.068115234375
5.37109375,0.52685546875,73.05,0.69580078125,45.66,0.77490234375,0.91845703125,0.008935546875,1.708984375E-06,5.2490234375E-05,0.518115234375
3.80859375,0.17529296875,73.05,0.81298828125,45.66,0.95458984375,0.19189453125,0.025341796875,7.1240234375E-05,4.833984375E-06,0.398583984375
103.80859375,0.67529296875,73.05,0.31298828125,45.66,0.45458984375,0.69189453125,0.075341796875,2.1240234375E-05,5.4833984375E-05,0.848583984375
153.80859375,0.42529296875,73.05,0.56298828125,45.66,0.70458984375,0.94189453125,0.000341796875,9.6240234375E-05,7.9833984375E-05,0.173583984375
53.80859375,0.92529296875,73.05,0.06298828125,45.66,0.20458984375,0.44189453125,0.050341796875,4.6240234375E-05,2.9833984375E-05,0.623583984375
78.80859375,0.30029296875,73.05,0.93798828125,45.66,0.07958984375,0.06689453125,0.087841796875,5.8740234375E-05,9.2333984375E-05,0.061083984375
178.80859375,0.80029296875,73.05,0.43798828125,45.66,0.57958984375,0.56689453125,0.037841796875,8.740234375E-06,4.2333984375E-05,0.511083984375
128.80859375,0.05029296875,73.05,0.68798828125,45.66,0.32958984375,0.81689453125,0.062841796875,8.3740234375E-05,1.7333984375E-05,0.286083984375
28.80859375,0.55029296875,73.05,0.18798828125,45.66,0.82958984375,0.31689453125,0.012841796875,3.3740234375E-05,6.7333984375E-05,0.736083984375
41.30859375,0.48779296875,73.05,0.37548828125,45.66,0.76708984375,0.12939453125,0.069091796875,5.2490234375E-05,1.1083984375E-05,0.679833984375
141.30859375,0.98779296875,73.05,0.87548828125,45.66,0.26708984375,0.62939453125,0.019091796875,2.490234375E-06,6.1083984375E-05,0.229833984375
191.30859375,0.23779296875,73.05,0.12548828125,45.66,0.51708984375,0.87939453125,0.094091796875,7.7490234375E-05,8.6083984375E-05,0.454833984375
91.30859375,0.73779296875,73.05,0.62548828125,45.66,0.01708984375,0.37939453125,0.044091796875,2.7490234375E-05,3.6083984375E-05,0.004833984375
66.30859375,0.11279296875,73.05,0.25048828125,45.66,0.14208984375,0.00439453125,0.006591796875,6.4990234375E-05,9.8583984375E-05,0.567333984375
166.30859375,0.61279296875,73.05,0.75048828125,45.66,0.64208984375,0.50439453125,0.056591796875,1.4990234375E-05,4.8583984375E-05,0.117333984375
116.30859375,0.36279296875,73.05,0.00048828125,45.66,0.39208984375,0.75439453125,0.031591796875,8.9990234375E-05,2.3583984375E-05,0.792333984375
16.30859375,0.86279296875,73.05,0.50048828125,45.66,0.89208984375,0.25439453125,0.081591796875,3.9990234375E-05,7.3583984375E-05,0.342333984375
22.55859375,0.33154296875,73.05,0.71923828125,45.66,0.67333984375,0.72314453125,0.059716796875,4.9365234375E-05,3.9208984375E-05,0.089208984375
122.55859375,0.83154296875,73.05,0.21923828125,45.66,0.17333984375,0.22314453125,0.009716796875,9.9365234375E-05,8.9208984375E-05,0.539208984375
172.55859375,0.08154296875,73.05,0.96923828125,45.66,0.92333984375,0.47314453125,0.084716796875,2.4365234375E-05,6.4208984375E-05,0.314208984375
72.55859375,0.58154296875,73.05,0.46923828125,45.66,0.42333984375,0.97314453125,0.034716796875,7.4365234375E-05,1.4208984375E-05,0.764208984375
97.55859375,0.20654296875,73.05,0.59423828125,45.66,0.29833984375,0.59814453125,0.022216796875,3.6865234375E-05,5.1708984375E-05,0.426708984375
