R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0
168.115234375,0.473876953125,73.05,0.165283203125,45.66,0.262451171875,0.862548828125,0.0644775390625,9.44580078125E-05,4.69482421875E-05,0.4598876953125
68.115234375,0.973876953125,73.05,0.665283203125,45.66,0.762451171875,0.362548828125,0.0144775390625,4.44580078125E-05,9.69482421875E-05,0.0098876953125
93.115234375,0.348876953125,73.05,0.290283203125,45.66,0.887451171875,0.237548828125,0.0269775390625,5.69580078125E-05,3.44482421875E-05,0.5723876953125
193.115234375,0.848876953125,73.05,0.790283203125,45.66,0.387451171875,0.737548828125,0.0769775390625,6.9580078125E-06,8.44482421875E-05,0.1223876953125
143.115234375,0.098876953125,73.05,0.040283203125,45.66,0.637451171875,0.987548828125,0.0019775390625,8.19580078125E-05,5.94482421875E-05,0.7973876953125
43.115234375,0.598876953125,73.05,0.540283203125,45.66,0.137451171875,0.487548828125,0.0519775390625,3.19580078125E-05,9.4482421875E-06,0.3473876953125
30.615234375,0.411376953125,73.05,0.852783203125,45.66,0.199951171875,0.050048828125,0.0082275390625,5.07080078125E-05,6.56982421875E-05,0.4036376953125
130.615234375,0.911376953125,73.05,0.352783203125,45.66,0.699951171875,0.550048828125,0.0582275390625,7.08E-07,1.56982421875E-05,0.8536376953125
180.615234375,0.161376953125,73.05,0.602783203125,45.66,0.449951171875,0.800048828125,0.0332275390625,7.57080078125E-05,4.06982421875E-05,0.1786376953125
80.615234375,0.661376953125,73.05,0.102783203125,45.66,0.949951171875,0.300048828125,0.0832275390625,2.57080078125E-05,9.06982421875E-05,0.6286376953125
55.615234375,0.036376953125,73.05,0.977783203125,45.66,0.824951171875,0.175048828125,0.0707275390625,6.32080078125E-05,2.81982421875E-05,0.0661376953125
155.615234375,0.536376953125,73.05,0.477783203125,45.66,0.324951171875,0.675048828125,0.0207275390625,1.32080078125E-05,7.81982421875E-05,0.5161376953125
105.615234375,0.286376953125,73.05,0.727783203125,45.66,0.574951171875,0.925048828125,0.0957275390625,8.82080078125E-05,5.31982421875E-05,0.2911376953125
5.615234375,0.786376953125,73.05,0.227783203125,45.66,0.074951171875,0.425048828125,0.0457275390625,3.82080078125E-05,3.1982421875E-06,0.7411376953125
4.052734375,0.387939453125,73.05,0.344970703125,45.66,0.129638671875,0.714111328125,0.0136962890625,8.27392578125E-05,5.08544921875E-05,0.1716064453125
104.052734375,0.887939453125,73.05,0.844970703125,45.66,0.629638671875,0.214111328125,0.0636962890625,3.27392578125E-05,8.54E-07,0.6216064453125
154.052734375,0.137939453125,73.05,0.094970703125,45.66,0.379638671875,0.464111328125,0.0386962890625,5.77392578125E-05,2.58544921875E-05,0.3966064453125
54.052734375,0.637939453125,73.05,0.594970703125,45.66,0.879638671875,0.964111328125,0.0886962890625,7.7392578125E-06,7.58544921875E-05,0.8466064453125
79.052734375,0.012939453125,73.05,0.469970703125,45.66,0.754638671875,0.589111328125,0.0511962890625,9.52392578125E-05,3.83544921875E-05,0.2841064453125
179.052734375,0.512939453125,73.05,0.969970703125,45.66,0.254638671875,0.089111328125,0.0011962890625,4.52392578125E-05,8.83544921875E-05,0.7341064453125
129.052734375,0.262939453125,73.05,0.219970703125,45.66,0.504638671875,0.339111328125,0.0761962890625,7.02392578125E-05,6.33544921875E-05,0.0591064453125
29.052734375,0.762939453125,73.05,0.719970703125,45.66,0.004638671875,0.839111328125,0.0261962890625,2.02392578125E-05,1.33544921875E-05,0.5091064453125
41.552734375,0.200439453125,73.05,0.907470703125,45.66,0.067138671875,0.651611328125,0.0824462890625,8.89892578125E-05,5.71044921875E-05,0.4528564453125
141.552734375,0.700439453125,73.05,0.407470703125,45.66,0.567138671875,0.151611328125,0.0324462890625,3.89892578125E-05,7.1044921875E-06,0.0028564453125
191.552734375,0.450439453125,73.05,0.657470703125,45.66,0.317138671875,0.401611328125,0.0574462890625,6.39892578125E-05,3.21044921875E-05,0.6778564453125
91.552734375,0.950439453125,73.05,0.157470703125,45.66,0.817138671875,0.901611328125,0.0074462890625,1.39892578125E-05,8.21044921875E-05,0.2278564453125
66.552734375,0.325439453125,73.05,0.782470703125,45.66,0.942138671875,0.526611328125,0.0449462890625,7.64892578125E-05,4.46044921875E-05,0.7903564453125
166.552734375,0.825439453125,73.05,0.282470703125,45.66,0.442138671875,0.026611328125,0.0949462890625,2.64892578125E-05,9.46044921875E-05,0.3403564453125
116.552734375,0.075439453125,73.05,0.532470703125,45.66,0.692138671875,0.276611328125,0.0199462890625,5.14892578125E-05,6.96044921875E-05,0.5653564453125
16.552734375,0.575439453125,73.05,0.032470703125,45.66,0.192138671875,0.776611328125,0.0699462890625,1.4892578125E-06,1.96044921875E-05,0.1153564453125
22.802734375,0.106689453125,73.05,0.188720703125,45.66,0.473388671875,0.245361328125,0.0980712890625,1.08642578125E-05,9.14794921875E-05,0.3122314453125
122.802734375,0.606689453125,73.05,0.688720703125,45.66,0.973388671875,0.745361328125,0.0480712890625,6.08642578125E-05,4.14794921875E-05,0.7622314453125
172.802734375,0.356689453125,73.05,0.438720703125,45.66,0.223388671875,0.995361328125,0.0730712890625,3.58642578125E-05,1.64794921875E-05,0.0872314453125
72.802734375,0.856689453125,73.05,0.938720703125,45.66,0.723388671875,0.495361328125,0.0230712890625,8.58642578125E-05,6.64794921875E-05,0.5372314453125
97.802734375,0.481689453125,73.05,0.063720703125,45.66,0.598388671875,0.120361328125,0.0355712890625,2.33642578125E-05,3.9794921875E-06,0.1997314453125
197.802734375,0.981689453125,73.05,0.563720703125,45.66,0.098388671875,0.620361328125,0.0855712890625,7.33642578125E-05,5.39794921875E-05,0.6497314453125
147.802734375,0.231689453125,73.05,0.313720703125,45.66,0.848388671875,0.870361328125,0.0105712890625,4.83642578125E-05,7.89794921875E-05,0.4247314453125
47.802734375,0.731689453125,73.05,0.813720703125,45.66,0.348388671875,0.370361328125,0.0605712890625,9.83642578125E-05,2.89794921875E-05,0.8747314453125
35.302734375,0.294189453125,73.05,0.501220703125,45.66,0.285888671875,0.182861328125,0.0043212890625,1.71142578125E-05,9.77294921875E-05,0.8184814453125
135.302734375,0.794189453125,73.05,0.001220703125,45.66,0.785888671875,0.682861328125,0.0543212890625,6.71142578125E-05,4.77294921875E-05,0.3684814453125
185.302734375,0.044189453125,73.05,0.751220703125,45.66,0.035888671875,0.932861328125,0.0293212890625,4.21142578125E-05,2.27294921875E-05,0.5934814453125
85.302734375,0.544189453125,73.05,0.251220703125,45.66,0.535888671875,0.432861328125,0.0793212890625,9.21142578125E-05,7.27294921875E-05,0.1434814453125
60.302734375,0.169189453125,73.05,0.626220703125,45.66,0.660888671875,0.057861328125,0.0668212890625,4.6142578125E-06,1.02294921875E-05,0.4809814453125
160.302734375,0.669189453125,73.05,0.126220703125,45.66,0.160888671875,0.557861328125,0.0168212890625,5.46142578125E-05,6.02294921875E-05,0.0309814453125
110.302734375,0.419189453125,73.05,0.876220703125,45.66,0.910888671875,0.807861328125,0.0918212890625,2.96142578125E-05,8.52294921875E-05,0.7059814453125
10.302734375,0.919189453125,73.05,0.376220703125,45.66,0.410888671875,0.307861328125,0.0418212890625,7.96142578125E-05,3.52294921875E-05,0.2559814453125
7.177734375,0.153564453125,73.05,0.798095703125,45.66,0.520263671875,0.948486328125,0.0558837890625,2.80517578125E-05,5.55419921875E-05,0.0169189453125
107.177734375,0.653564453125,73.05,0.298095703125,45.66,0.020263671875,0.448486328125,0.0058837890625,7.80517578125E-05,5.5419921875E-06,0.4669189453125
157.177734375,0.403564453125,73.05,0.548095703125,45.66,0.770263671875,0.198486328125,0.0808837890625,3.0517578125E-06,3.05419921875E-05,0.2419189453125
57.177734375,0.903564453125,73.05,0.048095703125,45.66,0.270263671875,0.698486328125,0.0308837890625,5.30517578125E-05,8.05419921875E-05,0.6919189453125
82.177734375,0.278564453125,73.05,0.923095703125,45.66,0.395263671875,0.823486328125,0.0183837890625,4.05517578125E-05,4.30419921875E-05,0.3544189453125
182.177734375,0.778564453125,73.05,0.423095703125,45.66,0.895263671875,0.323486328125,0.0683837890625,9.05517578125E-05,9.30419921875E-05,0.8044189453125
132.177734375,0.028564453125,73.05,0.673095703125,45.66,0.145263671875,0.073486328125,0.0433837890625,1.55517578125E-05,6.80419921875E-05,0.1294189453125
