"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","R_0","I_0"
33.154296875,0.47119140625,73.05,0.2373046875,45.66,0.06298828125,0.82373046875,0.08759765625,0.00056103515625,0.111181640625,7.27E-05
63.154296875,0.97119140625,73.05,0.32373046875,45.66,0.56298828125,0.32373046875,0.18759765625,6.10E-05,0.561181640625,2.27E-05
78.154296875,0.22119140625,73.05,0.57373046875,45.66,0.31298828125,0.07373046875,0.03759765625,0.00081103515625,0.336181640625,4.77E-05
48.154296875,0.72119140625,73.05,0.07373046875,45.66,0.81298828125,0.57373046875,0.13759765625,0.00031103515625,0.786181640625,9.77E-05
40.654296875,0.09619140625,73.05,0.94873046875,45.66,0.93798828125,0.94873046875,0.16259765625,0.00068603515625,0.448681640625,3.52E-05
70.654296875,0.59619140625,73.05,0.44873046875,45.66,0.43798828125,0.44873046875,0.06259765625,0.00018603515625,0.898681640625,8.52E-05
55.654296875,0.34619140625,73.05,0.69873046875,45.66,0.68798828125,0.19873046875,0.11259765625,0.00093603515625,0.223681640625,6.02E-05
25.654296875,0.84619140625,73.05,0.19873046875,45.66,0.18798828125,0.69873046875,0.01259765625,0.00043603515625,0.673681640625,1.02E-05
23.779296875,0.31494140625,73.05,0.04248046875,45.66,0.46923828125,0.29248046875,0.06884765625,0.00046728515625,0.701806640625,7.58E-05
53.779296875,0.81494140625,73.05,0.54248046875,45.66,0.96923828125,0.79248046875,0.16884765625,0.00096728515625,0.251806640625,2.58E-05
68.779296875,0.06494140625,73.05,0.29248046875,45.66,0.21923828125,0.54248046875,0.01884765625,0.00021728515625,0.476806640625,8.30E-07
38.779296875,0.56494140625,73.05,0.79248046875,45.66,0.71923828125,0.04248046875,0.11884765625,0.00071728515625,0.026806640625,5.08E-05
46.279296875,0.18994140625,73.05,0.16748046875,45.66,0.59423828125,0.41748046875,0.19384765625,0.00034228515625,0.589306640625,1.33E-05
76.279296875,0.68994140625,73.05,0.66748046875,45.66,0.09423828125,0.91748046875,0.09384765625,0.00084228515625,0.139306640625,6.33E-05
61.279296875,0.43994140625,73.05,0.41748046875,45.66,0.84423828125,0.66748046875,0.14384765625,9.23E-05,0.814306640625,8.83E-05
31.279296875,0.93994140625,73.05,0.91748046875,45.66,0.34423828125,0.16748046875,0.04384765625,0.00059228515625,0.364306640625,3.83E-05
27.529296875,0.00244140625,73.05,0.72998046875,45.66,0.28173828125,0.35498046875,0.13134765625,0.00027978515625,0.420556640625,8.21E-05
57.529296875,0.50244140625,73.05,0.22998046875,45.66,0.78173828125,0.85498046875,0.03134765625,0.00077978515625,0.870556640625,3.21E-05
72.529296875,0.25244140625,73.05,0.97998046875,45.66,0.03173828125,0.60498046875,0.18134765625,2.98E-05,0.195556640625,7.08E-06
