"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","R_0","I_0"
20.087890625,0.37646484375,73.05,0.65478515625,45.66,0.72216796875,0.84228515625,0.16591796875,0.00031201171875,0.846826171875,9.21E-05
50.087890625,0.87646484375,73.05,0.15478515625,45.66,0.22216796875,0.34228515625,0.06591796875,0.00081201171875,0.396826171875,4.21E-05
65.087890625,0.12646484375,73.05,0.90478515625,45.66,0.97216796875,0.09228515625,0.11591796875,6.20E-05,0.621826171875,1.71E-05
35.087890625,0.62646484375,73.05,0.40478515625,45.66,0.47216796875,0.59228515625,0.01591796875,0.00056201171875,0.171826171875,6.71E-05
42.587890625,0.00146484375,73.05,0.52978515625,45.66,0.34716796875,0.96728515625,0.09091796875,0.00043701171875,0.509326171875,4.64E-06
72.587890625,0.50146484375,73.05,0.02978515625,45.66,0.84716796875,0.46728515625,0.19091796875,0.00093701171875,0.059326171875,5.46E-05
57.587890625,0.25146484375,73.05,0.77978515625,45.66,0.09716796875,0.21728515625,0.04091796875,0.00018701171875,0.734326171875,7.96E-05
27.587890625,0.75146484375,73.05,0.27978515625,45.66,0.59716796875,0.71728515625,0.14091796875,0.00068701171875,0.284326171875,2.96E-05
31.337890625,0.18896484375,73.05,0.09228515625,45.66,0.53466796875,0.77978515625,0.02841796875,0.00049951171875,0.228076171875,9.84E-05
61.337890625,0.68896484375,73.05,0.59228515625,45.66,0.03466796875,0.27978515625,0.12841796875,0.00099951171875,0.678076171875,4.84E-05
76.337890625,0.43896484375,73.05,0.34228515625,45.66,0.78466796875,0.02978515625,0.07841796875,0.00024951171875,0.003076171875,2.34E-05
46.337890625,0.93896484375,73.05,0.84228515625,45.66,0.28466796875,0.52978515625,0.17841796875,0.00074951171875,0.453076171875,7.34E-05
38.837890625,0.31396484375,73.05,0.21728515625,45.66,0.40966796875,0.90478515625,0.10341796875,0.00037451171875,0.115576171875,1.09E-05
68.837890625,0.81396484375,73.05,0.71728515625,45.66,0.90966796875,0.40478515625,0.00341796875,0.00087451171875,0.565576171875,6.09E-05
53.837890625,0.06396484375,73.05,0.46728515625,45.66,0.15966796875,0.15478515625,0.15341796875,0.00012451171875,0.340576171875,8.59E-05
23.837890625,0.56396484375,73.05,0.96728515625,45.66,0.65966796875,0.65478515625,0.05341796875,0.00062451171875,0.790576171875,3.59E-05
25.712890625,0.09521484375,73.05,0.81103515625,45.66,0.87841796875,0.37353515625,0.00966796875,0.00053076171875,0.537451171875,5.15E-05
55.712890625,0.59521484375,73.05,0.31103515625,45.66,0.37841796875,0.87353515625,0.10966796875,3.08E-05,0.087451171875,1.51E-06
70.712890625,0.34521484375,73.05,0.56103515625,45.66,0.62841796875,0.62353515625,0.05966796875,0.00078076171875,0.762451171875,2.65E-05
40.712890625,0.84521484375,73.05,0.06103515625,45.66,0.12841796875,0.12353515625,0.15966796875,0.00028076171875,0.312451171875,7.65E-05
48.212890625,0.47021484375,73.05,0.93603515625,45.66,0.00341796875,0.49853515625,0.13466796875,0.00065576171875,0.874951171875,3.90E-05
78.212890625,0.97021484375,73.05,0.43603515625,45.66,0.50341796875,0.99853515625,0.03466796875,0.00015576171875,0.424951171875,8.90E-05
63.212890625,0.22021484375,73.05,0.68603515625,45.66,0.25341796875,0.74853515625,0.18466796875,0.00090576171875,0.649951171875,6.40E-05
33.212890625,0.72021484375,73.05,0.18603515625,45.66,0.75341796875,0.24853515625,0.08466796875,0.00040576171875,0.199951171875,1.40E-05
29.462890625,0.28271484375,73.05,0.49853515625,45.66,0.81591796875,0.31103515625,0.19716796875,0.00071826171875,0.143701171875,5.78E-05
59.462890625,0.78271484375,73.05,0.99853515625,45.66,0.31591796875,0.81103515625,0.09716796875,0.00021826171875,0.593701171875,7.76E-06
74.462890625,0.03271484375,73.05,0.24853515625,45.66,0.56591796875,0.56103515625,0.14716796875,0.00096826171875,0.368701171875,3.28E-05
44.462890625,0.53271484375,73.05,0.74853515625,45.66,0.06591796875,0.06103515625,0.04716796875,0.00046826171875,0.818701171875,8.28E-05
36.962890625,0.15771484375,73.05,0.37353515625,45.66,0.19091796875,0.43603515625,0.07216796875,0.00059326171875,0.256201171875,4.53E-05
66.962890625,0.65771484375,73.05,0.87353515625,45.66,0.69091796875,0.93603515625,0.17216796875,9.33E-05,0.706201171875,9.53E-05
51.962890625,0.40771484375,73.05,0.12353515625,45.66,0.44091796875,0.68603515625,0.02216796875,0.00084326171875,0.031201171875,7.03E-05
21.962890625,0.90771484375,73.05,0.62353515625,45.66,0.94091796875,0.18603515625,0.12216796875,0.00034326171875,0.481201171875,2.03E-05
22.900390625,0.14208984375,73.05,0.20166015625,45.66,0.11279296875,0.57666015625,0.09404296875,0.00085888671875,0.692138671875,9.06E-05
52.900390625,0.64208984375,73.05,0.70166015625,45.66,0.61279296875,0.07666015625,0.19404296875,0.00035888671875,0.242138671875,4.06E-05
67.900390625,0.39208984375,73.05,0.45166015625,45.66,0.36279296875,0.32666015625,0.04404296875,0.00060888671875,0.467138671875,1.56E-05
37.900390625,0.89208984375,73.05,0.95166015625,45.66,0.86279296875,0.82666015625,0.14404296875,0.00010888671875,0.017138671875,6.56E-05
45.400390625,0.26708984375,73.05,0.07666015625,45.66,0.98779296875,0.70166015625,0.16904296875,0.00098388671875,0.579638671875,3.08E-06
75.400390625,0.76708984375,73.05,0.57666015625,45.66,0.48779296875,0.20166015625,0.06904296875,0.00048388671875,0.129638671875,5.31E-05
60.400390625,0.01708984375,73.05,0.32666015625,45.66,0.73779296875,0.45166015625,0.11904296875,0.00073388671875,0.804638671875,7.81E-05
30.400390625,0.51708984375,73.05,0.82666015625,45.66,0.23779296875,0.95166015625,0.01904296875,0.00023388671875,0.354638671875,2.81E-05
